chronic_diseas_name|chronic_diseas_slug
Болезни, характеризующиеся повышенным кровяным давлением|diseases-characterized-by-elevated-blood-pressure
Ишемическая болезнь сердца|ischemic-heart-disease
Наличие аортокоронарного шунтового трансплантата|presence-of-aortocoronary-bypass-graft
Наличие коронарного ангиопластического имплантата и трансплантата|presence-of-coronary-angioplasty-implant-and-graft
Сердечная недостаточность|heart-failure
Закупорка и стеноз сонной артерии липопротеинов и другие липидемии|carotid-artery-occlusion-stenosis-lipoproteins-other-lipidemias
Нарушения обмена липопротеинов и другие липидемии|lipoprotein-metabolism-disorders-other-lipidemias
Предиабет|prediabetes
Инсулиннезависимый сахарный диабет|type-2-diabetes-mellitus
"Последствия субарахноидального кровоизлияния, внутричерепного кровоизлияния, другого нетравматического внутричерепного кровоизлияния, последствия инфаркта мозга и инсульта, не уточненные как кровоизлияния или инфаркт мозга; Другие уточненные поражения сосудов мозга|sequelae-of-subarachnoid-hemorrhage-intracranial-hemorrhage-other-nontraumatic-intracranial-hemorrhage-cerebral-infarction-stroke-unspecified-other-specified-cerebrovascular-lesions"
Эзофагит|esophagitis
Гастроэзофагеальный рефлюкс с эзофагитом|gastroesophageal-reflux-disease-with-esophagitis
Язва желудка|gastric-ulcer
Язва двенадцатиперстной кишки |duodenal-ulcer
Полип желудка|gastric-polyp
Хронический панкреатит с внешнесекреторной недостаточностью|chronic-pancreatitis-with-exocrine-insufficiency
Рецидивирующий и хронический бронхиты|recurrent-and-chronic-bronchitis
"Хроническая обструктивная легочная болезнь с острой респираторной инфекцией нижних дыхательных путей; Другая уточненная хроническая обструктивная легочная болезнь; Хроническая обструктивная легочная болезнь неуточненная |chronic-obstructive-pulmonary-disease-with-acute-lower-respiratory-infection-other-specified-copd-copd-unspecified"
Бронхоэктатическая болезнь|bronchiectasis
Астма с преобладанием аллергического компонента|allergic-predominant-asthma
Неаллергическая астма|non-allergic-asthma
Смешанная астма|mixed-asthma
Астма неуточненная|asthma-unspecified
Состояние после перенесенной пневмонии|status-post-pneumonia
Интерстициальные заболевания легких|interstitial-lung-diseases
Состояние после перенесенной острой почечной недостаточности, пациенты в стабильном состоянии, с хронической почечной недостаточностью 1 стадии, а также пациенты, страдающие хронической болезнью почек (независимо от ее причины и стадии), в стабильном состоянии с хронической почечной недостаточностью 1 стадии|status-post-acute-renal-failure-stable-chronic-kidney-disease-stage-1-patients-with-ckd-any-cause-stage-1-stable
Хроническая болезнь почки неуточненная|chronic-kidney-disease-unspecified
Идиопатический остеопороз|idiopathic-osteoporosis
Хронический атрофический гастрит|chronic-atrophic-gastritis
Хронический гастрит неуточненный|chronic-gastritis-unspecified
Семейный полипоз толстой кишки|familial-adenomatous-polyposis-of-colon
Синдром Гартнера|gartner-syndrome
Синдром Пейца Егерса|peutz-jeghers-syndrome
Синдром Турко|turcot-syndrome
Полипы желудка и двенадцатиперстной кишки|polyps-of-stomach-and-duodenum
Полип прямой кишки|rectal-polyp
